triple_id,relation_key,A,B,C
375,reference,handshake,agreement,symbols
338,part_whole,storage,site,worm
383,reference,memoir,story,prizes
468,space_time,space,asteroid,greece
128,cause_purpose,band,music,weapons
410,similar,prize,winning,buck
293,non_attribute,spark,dull,diamonds
329,part_whole,knight,helmet,church
389,reference,symbols,concepts,address
203,contrast,lies,truths,rejects
91,case_relations,traveler,flight,crabs
170,class_inclusion,outfit,swimwear,table
191,class_inclusion,organs,heart,label
453,space_time,woods,tree,carnival
346,part_whole,catalogue,record,conference
125,cause_purpose,journalists,articles,cavity
434,similar,amazing,splended,teaching
500,space_time,nights,blackness,venice
236,contrast,upwards,declined,harder
34,attribute,matrices,organized,diamonds
