triple_id,relation_key,A,B,C
1,attribute,sirens,loud,aluminum
2,attribute,branches,wooden,sunshine
3,attribute,torpedoes,rapid,cube
4,attribute,pupils,black,junk
5,attribute,farmers,natural,fires
6,attribute,torpedoes,underwater,yards
7,attribute,farmers,agricultural,injury
8,attribute,grids,square,indonesia
9,attribute,eruption,hot,comedy
10,attribute,grids,measured,eruption
11,attribute,chicken,flightless,squirrel
12,attribute,aluminum,grey,cells
13,attribute,greece,beachy,squirrel
14,attribute,sirens,piercing,pasta
15,attribute,cowboy,texan,fires
16,attribute,rat,nocturnal,logs
17,attribute,aluminum,thin,copper
18,attribute,cube,geometric,matrices
19,attribute,parties,fun,dish
20,attribute,cake,sugary,matrices
21,attribute,dish,flat,cowboy
22,attribute,thorn,spikey,squirrel
23,attribute,sirens,audible,branches
24,attribute,branches,spikey,pumpkin
25,attribute,fires,warm,heroin
26,attribute,pasta,delicious,eruption
27,attribute,scooter,electronic,woods
28,attribute,hens,fluffy,sirens
29,attribute,woods,dense,elephants
30,attribute,junk,trashy,eruption
31,attribute,squirrel,nimble,song
32,attribute,films,artistic,greece
33,attribute,taxi,callable,popcorn
34,attribute,matrices,organized,diamonds
35,attribute,films,cinematographic,yards
36,attribute,manhattan,busy,logs
37,attribute,squirrel,furry,air
38,attribute,grids,organized,pumpkin
39,attribute,eruption,volcanic,injury
40,attribute,pasta,cheesy,farmers
41,attribute,greece,historic,lions
42,attribute,diamonds,bright,fires
43,attribute,sunshine,radiant,branches
44,attribute,rat,mouselike,films
45,attribute,chicken,edible,rainbow
46,attribute,matrices,rectangular,fires
47,attribute,song,audible,parties
48,attribute,branches,twiggy,appointment
49,attribute,appointment,scheduled,popcorn
50,attribute,wool,itchy,cells
51,case_relations,poisons,murder,broadcast
52,case_relations,bang,gavel,government
53,case_relations,catcher,glove,leaking
54,case_relations,pirates,hook,academics
55,case_relations,erase,eraser,unravel
56,case_relations,dodge,ball,athlete
57,case_relations,shaves,hair,charges
58,case_relations,bang,bomb,proclaim
59,case_relations,competitors,race,journalists
60,case_relations,government,legislation,shaves
61,case_relations,pupil,exam,businessman
62,case_relations,crabs,claw,leaking
63,case_relations,government,laws,stamping
64,case_relations,smoker,cigarette,dodge
65,case_relations,businessman,meetings,digs
66,case_relations,operators,addition,competitors
67,case_relations,subscribe,netflix,educate
68,case_relations,sing,song,pirates
69,case_relations,subscribe,channel,rains
70,case_relations,digs,hole,carry
71,case_relations,operators,train,panther
72,case_relations,smoker,pipe,bang
73,case_relations,digs,grave,bang
74,case_relations,stamping,letter,competitors
75,case_relations,broadcast,show,dentist
76,case_relations,defend,castle,politician
77,case_relations,eat,brunch,sketch
78,case_relations,unravel,yarn,nodded
79,case_relations,pupil,pencil,broadcast
80,case_relations,wastes,time,broadcast
81,case_relations,locks,door,leaking
82,case_relations,educate,classroom,broadcast
83,case_relations,eat,snack,broadcast
84,case_relations,broadcast,signal,canceling
85,case_relations,academics,lecture,panther
86,case_relations,wastes,trash,pupil
87,case_relations,erase,mistake,smoker
88,case_relations,pupil,flashcards,journalists
89,case_relations,dodge,danger,sketch
90,case_relations,wolverine,claw,nodded
91,case_relations,traveler,flight,crabs
92,case_relations,proclaim,speech,shaves
93,case_relations,canceling,plans,crabs
94,case_relations,traveler,luggage,waste
95,case_relations,panther,fangs,sing
96,case_relations,educate,tutorial,canceling
97,case_relations,rains,umbrella,waste
98,case_relations,carry,bag,erase
99,case_relations,smoker,cigar,government
100,case_relations,stamping,mail,charges
101,cause_purpose,blossom,flower,coin
102,cause_purpose,booklet,education,stomach
103,cause_purpose,boiler,heat,movie
104,cause_purpose,ovens,burning,custodian
105,cause_purpose,punches,pain,oder
106,cause_purpose,shoes,protection,waste
107,cause_purpose,concerts,music,boiler
108,cause_purpose,batteries,charging,oder
109,cause_purpose,stomach,digestion,cavity
110,cause_purpose,pirates,raids,blender
111,cause_purpose,bang,noise,boiler
112,cause_purpose,academics,learning,kettle
113,cause_purpose,blender,puree,wineries
114,cause_purpose,blossom,scent,kettle
115,cause_purpose,pirates,shipwreck,lecturers
116,cause_purpose,government,rules,dogs
117,cause_purpose,blossom,bloom,blender
118,cause_purpose,alarm,waking,sickness
119,cause_purpose,meme,laughter,mug
120,cause_purpose,pinch,pain,bang
121,cause_purpose,oder,smell,politician
122,cause_purpose,alarm,alertness,question
123,cause_purpose,strikeouts,outs,smiles
124,cause_purpose,academics,papers,lecturers
125,cause_purpose,journalists,articles,cavity
126,cause_purpose,meme,amusement,cars
127,cause_purpose,kettle,tea,sketch
128,cause_purpose,band,music,weapons
129,cause_purpose,waste,disposal,wineries
130,cause_purpose,kettle,boil,boiler
131,cause_purpose,stomach,growling,cologne
132,cause_purpose,smiles,joy,threat
133,cause_purpose,politician,laws,concerts
134,cause_purpose,kettle,heat,sickness
135,cause_purpose,tornado,wind,booklet
136,cause_purpose,smiles,happiness,pinch
137,cause_purpose,concerts,noise,question
138,cause_purpose,snowing,snowdays,stomach
139,cause_purpose,tornado,alerts,academics
140,cause_purpose,band,albums,stomach
141,cause_purpose,poisons,illness,punches
142,cause_purpose,lecturers,studying,concerts
143,cause_purpose,applauding,bows,cars
144,cause_purpose,blossom,flowers,custodian
145,cause_purpose,ovens,cooking,meme
146,cause_purpose,threat,panic,pirates
147,cause_purpose,pencils,notetaking,stomach
148,cause_purpose,politician,legislation,punches
149,cause_purpose,movie,entertainment,cars
150,cause_purpose,microwaves,heat,snowing
151,class_inclusion,exams,SAT,brand
152,class_inclusion,tribes,Navajo,organs
153,class_inclusion,fitness,flexibility,tribes
154,class_inclusion,wines,Cabernet,capability
155,class_inclusion,regimes,Nazis,craftsmen
156,class_inclusion,capability,athleticism,relationship
157,class_inclusion,skirt,poodle-skirt,dimension
158,class_inclusion,brand,Nike,soap
159,class_inclusion,sport,badminton,instrumentation
160,class_inclusion,exams,MCAT,sport
161,class_inclusion,tier,professional,ventilation
162,class_inclusion,story,fairytale,regimes
163,class_inclusion,exams,pop-quiz,poll
