A,B,C
test,test,implantation
rainy,rainy,feminine
sneezing,sneezing,entitle
mourning,mourning,multimillion
envision,envision,bobbing
truffle,truffle,conjoined
blowing,blowing,ultimatum
stopped,stopped,grandiose
transistor,transistor,undetermined
haywire,haywire,narcissism
possible,possible,carver
smartphone,smartphone,heartwarming
hedonistic,hedonistic,plunge
personally,personally,myriad
squeeze,squeeze,oyster
baron,baron,declared
revolt,revolt,strong
outing,outing,carp
hexagon,hexagon,attack
founder,founder,multicolored
