participant_id,item_order,cycle,triple_id,relation_key,A,B,C
1,1,3,494,space_time,clinics,patient,nights
1,2,2,64,case_relations,smoker,cigarette,dodge
1,3,2,228,contrast,functional,broken,utility
1,4,3,93,case_relations,canceling,plans,crabs
1,5,2,123,cause_purpose,strikeouts,outs,smiles
1,6,1,367,reference,marker,position,ambassadors
1,7,1,305,part_whole,chicken,thigh,gym
1,8,2,215,contrast,preserved,wasted,straight
1,9,3,142,cause_purpose,lecturers,studying,concerts
1,10,2,351,reference,deal,agreement,marker
1,11,1,272,non_attribute,dwarfs,tall,injustices
1,12,1,418,similar,wondering,pondering,classes
1,13,3,374,reference,questionnaires,opinion,coupon
1,14,3,499,space_time,kansas,farm,resorts
1,15,2,287,non_attribute,gibberish,english,tornado
1,16,1,261,non_attribute,cookie,frozen,fluid
1,17,1,26,attribute,pasta,delicious,eruption
1,18,3,144,cause_purpose,blossom,flowers,custodian
1,19,2,171,class_inclusion,charts,bar-chart,section
1,20,3,298,non_attribute,germ,clean,blues
2,1,1,124,cause_purpose,academics,papers,lecturers
2,2,3,455,space_time,holidays,present,clinics
2,3,2,150,cause_purpose,microwaves,heat,snowing
2,4,1,435,similar,tough,chewy,pretend
2,5,2,374,reference,questionnaires,opinion,coupon
2,6,2,83,case_relations,eat,snack,broadcast
2,7,2,121,cause_purpose,oder,smell,politician
2,8,1,328,part_whole,resume,job,tomb
2,9,2,97,case_relations,rains,umbrella,waste
2,10,3,19,attribute,parties,fun,dish
2,11,2,367,reference,marker,position,ambassadors
2,12,1,99,case_relations,smoker,cigar,government
2,13,1,252,non_attribute,athlete,overweight,injustices
2,14,3,438,similar,fathers,parents,prize
2,15,3,394,reference,polls,opinions,ambassadors
2,16,1,354,reference,kilometers,distance,listing
2,17,3,470,space_time,metropolis,skyscraper,pier
2,18,3,274,non_attribute,boiler,chilled,mistakes
2,19,3,486,space_time,disneyland,rides,clinics
2,20,1,370,reference,token,value,agendas
3,1,3,310,part_whole,tomb,casket,arrows
