trial_id,model,A_word,B_word,A_len,B_len,A_popularity,B_popularity,A_upos,B_upos,A_domain,B_domain,A_abstraction,B_abstraction,A_polysemy,B_polysemy,identity_success,prompt,raw_response,parsed_answer
1,gpt-5,lion,shit,0.125000,0.125000,0.906298,0.993700,NOUN,NOUN,noun.location,noun.attribute,0.990000,0.832500,0.300000,0.700000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

lion : lion :: shit : ____",ANSWER: shit,shit
2,gpt-5,unfortunate,wickedness,0.562500,0.500000,0.881538,0.363367,NOUN,NOUN,noun.person,noun.state,0.195000,0.180000,0.300000,0.400000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

unfortunate : unfortunate :: wickedness : ____",ANSWER: wickedness,wickedness
3,gpt-5,extravaganza,delinquency,0.625000,0.562500,0.384208,0.361007,NOUN,NOUN,noun.act,noun.attribute,0.395000,0.330000,0.000000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

extravaganza : extravaganza :: delinquency : ____",ANSWER: delinquency,delinquency
4,gpt-5,likely,posse,0.250000,0.187500,0.987280,0.538571,ADJ,NOUN,adj.all,noun.group,0.190000,0.722500,0.400000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

likely : likely :: posse : ____",ANSWER: posse,posse
5,gpt-5,boardroom,decommissioning,0.437500,0.812500,0.393268,0.295026,NOUN,VERB,noun.artifact,verb.possession,0.915000,0.267500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

boardroom : boardroom :: decommissioning : ____",ANSWER: decommissioning,decommissioning
6,gpt-5,islam,laptop,0.187500,0.250000,0.929979,0.902658,NOUN,NOUN,noun.group,noun.artifact,0.475000,0.990000,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

islam : islam :: laptop : ____",ANSWER: laptop,laptop
7,gpt-5,necessarily,original,0.562500,0.375000,0.937679,0.985700,ADV,ADJ,adv.all,adj.all,0.090000,0.267500,0.200000,0.500000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

necessarily : necessarily :: original : ____",ANSWER: originally,originally
8,gpt-5,betrothed,poverty,0.437500,0.312500,0.312066,0.934999,VERB,NOUN,verb.communication,noun.state,0.340000,0.385000,0.200000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

betrothed : betrothed :: poverty : ____",ANSWER: poor,poor
9,gpt-5,excommunication,equator,0.812500,0.312500,0.167623,0.587512,NOUN,NOUN,noun.act,noun.location,0.325000,0.712500,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

excommunication : excommunication :: equator : ____",ANSWER: equator,equator
10,gpt-5,feminist,tuft,0.375000,0.125000,0.882358,0.006360,NOUN,NOUN,noun.person,noun.group,0.365000,0.712500,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

feminist : feminist :: tuft : ____",ANSWER: tuft,tuft
11,gpt-5,coloration,insulating,0.500000,0.500000,0.430049,0.434909,NOUN,VERB,noun.attribute,verb.change,0.397500,0.457500,0.200000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

coloration : coloration :: insulating : ____",ANSWER: insulation,insulation
12,gpt-5,cultivated,chestnut,0.500000,0.375000,0.740975,0.684514,VERB,NOUN,verb.social,noun.animal,0.412500,0.925000,0.600000,0.600000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

cultivated : cultivated :: chestnut : ____",ANSWER: chestnut,chestnut
13,gpt-5,bow,dystopia,0.062500,0.375000,0.914278,0.186564,NOUN,NOUN,noun.artifact,noun.state,0.902500,0.230000,1.000000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

bow : bow :: dystopia : ____",ANSWER: utopia,utopia
14,gpt-5,terrifying,visibility,0.500000,0.500000,0.844957,0.800336,VERB,NOUN,verb.emotion,noun.state,0.270000,0.510000,0.100000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

terrifying : terrifying :: visibility : ____",ANSWER: visibility,visibility
15,gpt-5,ache,bologna,0.125000,0.312500,0.672073,0.582892,NOUN,NOUN,noun.state,noun.food,0.607500,0.982500,0.300000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

ache : ache :: bologna : ____",ANSWER: baloney,baloney
16,gpt-5,consenting,intact,0.500000,0.250000,0.451809,0.852997,VERB,ADJ,verb.communication,adj.all,0.180000,0.410000,0.100000,0.300000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

consenting : consenting :: intact : ____",ANSWER: untouched,untouched
17,gpt-5,refugee,wreath,0.312500,0.250000,0.852357,0.635493,NOUN,NOUN,noun.person,noun.artifact,0.742500,0.982500,0.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

refugee : refugee :: wreath : ____",ANSWER: thawer,thawer
18,gpt-5,sideshow,incisive,0.375000,0.375000,0.373107,0.221984,NOUN,ADJ,noun.act,adj.all,0.757500,0.215000,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sideshow : sideshow :: incisive : ____",ANSWER: incisive,incisive
19,gpt-5,rust,acute,0.125000,0.187500,0.787936,0.858197,NOUN,NOUN,noun.process,noun.communication,0.880000,0.230000,0.700000,0.600000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

rust : rust :: acute : ____",ANSWER: accent,accent
20,gpt-5,yarn,profoundly,0.125000,0.500000,0.738375,0.703694,NOUN,ADV,noun.artifact,adv.all,0.982500,0.177500,0.200000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

yarn : yarn :: profoundly : ____",ANSWER: profoundly,profoundly
21,gpt-5,oat,accredited,0.062500,0.500000,0.341087,0.780536,NOUN,VERB,noun.food,verb.social,1.000000,0.317500,0.100000,0.300000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

oat : oat :: accredited : ____",ANSWER: credited,credited
22,gpt-5,falsehood,prerequisite,0.437500,0.625000,0.360447,0.573611,NOUN,NOUN,noun.communication,noun.cognition,0.250000,0.365000,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

falsehood : falsehood :: prerequisite : ____",ANSWER: prerequisite,prerequisite
23,gpt-5,gossiping,spacecraft,0.437500,0.500000,0.250585,0.791056,VERB,NOUN,verb.communication,noun.artifact,0.422500,0.950000,0.200000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

gossiping : gossiping :: spacecraft : ____",ANSWER: spacecraft,spacecraft
24,gpt-5,costing,doorbell,0.312500,0.375000,0.772755,0.457449,VERB,NOUN,verb.stative,noun.artifact,0.462500,0.955000,0.200000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

costing : costing :: doorbell : ____",ANSWER: doorbell,doorbell
25,gpt-5,recent,gambling,0.250000,0.375000,0.980480,0.875058,ADJ,VERB,adj.all,verb.competition,0.375000,0.635000,0.200000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

recent : recent :: gambling : ____",ANSWER: gambling,gambling
26,gpt-5,drawbridge,souvenir,0.500000,0.375000,0.071421,0.636213,NOUN,NOUN,noun.artifact,noun.artifact,0.972500,0.862500,0.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

drawbridge : drawbridge :: souvenir : ____",ANSWER: souvenir,souvenir
27,gpt-5,fatigue,loosing,0.312500,0.312500,0.824236,0.490790,NOUN,VERB,noun.state,verb.change,0.535000,0.242500,0.500000,0.300000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

fatigue : fatigue :: loosing : ____",ANSWER: losing,losing
28,gpt-5,trade,flamed,0.187500,0.250000,0.984100,0.035241,NOUN,VERB,noun.act,verb.communication,0.520000,0.542500,1.000000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

trade : trade :: flamed : ____",ANSWER: flame,flame
29,gpt-5,exhaustive,bride,0.500000,0.187500,0.608212,0.875718,ADJ,NOUN,adj.all,noun.person,0.325000,0.907500,0.000000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

exhaustive : exhaustive :: bride : ____",ANSWER: be,be
30,gpt-5,bowel,surge,0.187500,0.187500,0.722574,0.811956,NOUN,NOUN,noun.body,noun.act,0.882500,0.445000,0.000000,0.700000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

bowel : bowel :: surge : ____",ANSWER: surge,surge
31,gpt-5,purgatory,vamp,0.437500,0.125000,0.489170,0.305186,NOUN,NOUN,noun.cognition,noun.artifact,0.380000,0.512500,0.100000,0.600000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

purgatory : purgatory :: vamp : ____",ANSWER: vamp,vamp
32,gpt-5,sporadically,longevity,0.625000,0.437500,0.356167,0.721034,ADV,NOUN,adv.all,noun.attribute,0.302500,0.225000,0.000000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sporadically : sporadically :: longevity : ____",ANSWER: longevity,longevity
33,gpt-5,mantel,dropper,0.250000,0.312500,0.350207,0.025721,NOUN,NOUN,noun.artifact,noun.artifact,0.910000,0.697500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

mantel : mantel :: dropper : ____",ANSWER: dropper,dropper
34,gpt-5,chairperson,supermodel,0.562500,0.500000,0.524430,0.487990,NOUN,NOUN,noun.person,noun.person,0.895000,0.832500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

chairperson : chairperson :: supermodel : ____",ANSWER: supermodel,supermodel
35,gpt-5,slaying,bling,0.312500,0.187500,0.584512,0.559771,VERB,NOUN,verb.social,noun.artifact,0.732500,0.750000,0.100000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

slaying : slaying :: bling : ____",ANSWER: bling,bling
36,gpt-5,physiology,toots,0.500000,0.187500,0.743455,0.063541,NOUN,NOUN,noun.attribute,noun.act,0.430000,0.540000,0.100000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

physiology : physiology :: toots : ____",ANSWER: tootology,tootology
37,gpt-5,doorknob,workman,0.375000,0.312500,0.116562,0.386848,NOUN,NOUN,noun.artifact,noun.person,0.992500,0.777500,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

doorknob : doorknob :: workman : ____",ANSWER: workman,workman
38,gpt-5,highest,runoff,0.312500,0.250000,0.970879,0.711934,ADJ,NOUN,adj.all,noun.act,0.430000,0.722500,0.600000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

highest : highest :: runoff : ____",ANSWER: runoff,runoff
39,gpt-5,pizza,ante,0.187500,0.125000,0.931119,0.624872,NOUN,NOUN,noun.food,noun.possession,1.000000,0.500000,0.000000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

pizza : pizza :: ante : ____",ANSWER: before,before
40,gpt-5,youngster,preferable,0.437500,0.500000,0.589112,0.673833,NOUN,ADJ,noun.person,adj.all,0.690000,0.135000,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

youngster : youngster :: preferable : ____",ANSWER: preferable,preferable
41,gpt-5,accommodation,expenditure,0.687500,0.562500,0.871417,0.789136,NOUN,NOUN,noun.cognition,noun.possession,0.490000,0.440000,0.500000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

accommodation : accommodation :: expenditure : ____",ANSWER: expenditure,expenditure
42,gpt-5,gull,writing,0.125000,0.312500,0.421248,0.981620,NOUN,VERB,noun.person,verb.creation,0.770000,0.675000,0.300000,1.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

gull : gull :: writing : ____",ANSWER: righting,righting
43,gpt-5,pose,measuring,0.125000,0.437500,0.878338,0.872477,NOUN,VERB,noun.act,verb.change,0.582500,0.630000,0.800000,0.400000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

pose : pose :: measuring : ____",ANSWER: meter,meter
44,gpt-5,entrepreneurial,countryman,0.812500,0.500000,0.657413,0.345107,ADJ,NOUN,adj.pert,noun.person,0.285000,0.665000,0.100000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

entrepreneurial : entrepreneurial :: countryman : ____",ANSWER: countryman,countryman
45,gpt-5,triangulation,mistletoe,0.687500,0.437500,0.150803,0.266585,NOUN,NOUN,noun.act,noun.plant,0.347500,0.962500,0.100000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

triangulation : triangulation :: mistletoe : ____",ANSWER: osculation,osculation
46,gpt-5,unpalatable,bling,0.562500,0.187500,0.006100,0.559771,ADJ,NOUN,adj.all,noun.artifact,0.395000,0.750000,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

unpalatable : unpalatable :: bling : ____",ANSWER: bling,bling
47,gpt-5,upset,congratulation,0.187500,0.750000,0.950619,0.196404,NOUN,NOUN,noun.artifact,noun.communication,0.352500,0.317500,1.000000,0.100000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

upset : upset :: congratulation : ____",ANSWER: congratulate,congratulate
48,gpt-5,newbie,consecrated,0.250000,0.562500,0.551031,0.535631,NOUN,VERB,noun.person,verb.social,0.457500,0.267500,0.000000,0.500000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

newbie : newbie :: consecrated : ____",ANSWER: consecrated,consecrated
49,gpt-5,cusp,menacing,0.125000,0.375000,0.457769,0.539231,NOUN,VERB,noun.artifact,verb.stative,0.435000,0.297500,0.200000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

cusp : cusp :: menacing : ____",ANSWER: menacing,menacing
50,gpt-5,worsening,only,0.437500,0.125000,0.518810,0.998440,VERB,ADV,verb.change,adv.all,0.240000,0.352500,0.400000,0.800000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

worsening : worsening :: only : ____",ANSWER: only,only
51,gpt-5,hairpin,toots,0.312500,0.187500,0.240885,0.063541,NOUN,NOUN,noun.artifact,noun.act,0.957500,0.540000,0.000000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

hairpin : hairpin :: toots : ____",ANSWER: toots,toots
52,gpt-5,thou,smother,0.125000,0.312500,0.888858,0.298306,NOUN,NOUN,noun.quantity,noun.phenomenon,0.297500,0.525000,0.000000,0.600000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

thou : thou :: smother : ____",ANSWER: mother,mother
53,gpt-5,illegitimate,oddity,0.625000,0.250000,0.670073,0.229545,NOUN,NOUN,noun.person,noun.attribute,0.205000,0.277500,0.200000,0.200000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

illegitimate : illegitimate :: oddity : ____",ANSWER: odd,odd
54,gpt-5,horoscope,mover,0.437500,0.187500,0.491730,0.556851,NOUN,NOUN,noun.communication,noun.group,0.572500,0.687500,0.100000,0.300000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

horoscope : horoscope :: mover : ____",ANSWER: mover,mover
55,gpt-5,mug,fertility,0.062500,0.437500,0.778576,0.802176,NOUN,NOUN,noun.quantity,noun.state,0.950000,0.397500,0.400000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

mug : mug :: fertility : ____",ANSWER: fertility,fertility
56,gpt-5,acceleration,stereo,0.625000,0.250000,0.787216,0.797296,NOUN,NOUN,noun.attribute,noun.artifact,0.492500,0.907500,0.200000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

acceleration : acceleration :: stereo : ____",ANSWER: stereo,stereo
57,gpt-5,sped,metamorphic,0.125000,0.562500,0.584372,0.134783,VERB,ADJ,verb.change,adj.all,0.595000,0.405000,0.400000,0.100000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sped : sped :: metamorphic : ____",ANSWER: metamorphic,metamorphic
58,gpt-5,reasoning,truffle,0.437500,0.312500,0.859037,0.459829,VERB,NOUN,verb.cognition,noun.food,0.097500,0.900000,0.400000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

reasoning : reasoning :: truffle : ____",ANSWER: truffle,truffle
59,gpt-5,wednesday,afterlife,0.437500,0.437500,0.948699,0.639913,NOUN,NOUN,noun.time,noun.time,0.535000,0.225000,0.000000,0.000000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

wednesday : wednesday :: afterlife : ____",ANSWER: afterlife,afterlife
60,gpt-5,firebird,snug,0.375000,0.125000,0.127083,0.488310,NOUN,NOUN,noun.animal,noun.artifact,0.892500,0.385000,0.200000,0.400000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

firebird : firebird :: snug : ____",ANSWER: snug,snug
61,gpt-5,artillery,considered,0.437500,0.500000,0.849537,0.982740,NOUN,VERB,noun.group,verb.communication,0.827500,0.242500,0.200000,0.900000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

artillery : artillery :: considered : ____",ANSWER: considered,considered
62,gpt-5,sudoku,problem,0.250000,0.312500,0.097862,0.992200,NOUN,NOUN,noun.communication,noun.communication,0.865000,0.420000,0.000000,0.200000,1,"Complete the analogy. Reply ONLY as: ANSWER: <word>

sudoku : sudoku :: problem : ____",ANSWER: problem,problem
63,gpt-5,daisy,unsubstantiated,0.187500,0.812500,0.802656,0.322006,NOUN,ADJ,noun.plant,adj.all,1.000000,0.205000,0.000000,0.000000,0,"Complete the analogy. Reply ONLY as: ANSWER: <word>

daisy : daisy :: unsubstantiated : ____",ANSWER: substantiated,substantiated
